Id,Obs,Mdl
0,7,8
1,15,15
2,19,14
3,32,32
4,4,4
5,1,0
6,1,0
7,2,2
8,1,1
9,1,0
10,1,1
11,3,3
12,7,6
13,8,3
14,4,0
15,2,2
16,1,1
17,1,1
18,1,1
19,2,1
20,1,0
21,1,0
22,1,0
23,1,0
24,1,1
25,1,0
26,1,1
27,1,0
28,1,0
29,1,2
30,1,0
31,3,2
32,2,2
33,1,1
34,1,0
35,1,0
36,1,0
37,6,4
38,1,1
39,4,1
40,1,1
41,1,1
42,1,1
43,1,1
44,2,2
45,1,0
46,1,0
47,1,0
48,1,1
49,1,1
50,1,0
51,2,2
52,1,1
53,2,2
54,1,1
55,1,1
56,1,0
57,1,1
58,1,1
59,1,1
60,1,1
61,1,0
62,1,1
63,1,1
64,1,1
65,1,1
66,2,2
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,3,3
78,2,2
79,1,0
80,1,1
81,1,1
82,1,0
83,9,8
84,3,1
85,4,5
86,3,0
87,1,1
88,2,2
89,2,1
90,1,0
91,1,1
92,2,2
93,1,0
94,1,0
95,1,1
96,1,1
97,1,0
98,3,2
99,1,0
100,1,0
101,1,1
102,1,0
103,1,0
104,1,0
105,1,0
106,1,1
107,1,1
108,1,0
109,3,1
110,1,0
111,1,0
112,1,0
113,2,1
114,1,1
115,1,1
116,2,1
117,2,1
118,1,0
119,1,0
120,1,1
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
126,4,4
127,1,0
128,1,0
129,1,0
130,1,0
131,1,1
132,1,1
133,1,1
134,1,0
135,1,0
136,1,0
137,1,0
138,1,0
139,1,0
140,1,1
141,1,1
142,3,1
143,1,1
144,1,1
145,1,1
146,9,8
147,1,0
148,2,2
149,2,0
150,1,0
151,1,0
152,1,0
153,1,1
154,1,0
155,3,2
156,3,4
157,1,1
158,1,0
159,1,0
160,1,0
161,2,2
162,2,1
163,1,1
164,1,1
165,2,2
166,1,0
167,1,1
168,1,1
169,1,1
170,1,1
171,1,1
172,1,0
173,1,1
174,1,0
175,1,1
176,1,1
177,1,0
178,1,0
179,1,1
180,1,1
181,1,0
182,1,0
183,1,1
184,1,0
185,1,1
186,1,1
187,1,1
188,1,0
189,1,1
190,1,1
191,1,1
192,1,1
193,2,2
194,1,1
195,1,1
196,1,0
197,1,1
198,1,1
199,1,0
200,1,0
201,3,2
202,1,0
203,1,1
204,1,0
205,1,1
206,1,1
207,1,0
208,2,2
209,2,1
210,3,2
211,1,1
212,2,0
213,1,0
214,2,1
215,1,0
216,1,0
217,1,0
218,2,2
219,1,1
220,1,1
221,1,1
222,1,1
223,1,0
224,1,1
225,1,1
226,1,1
227,1,1
228,1,1
229,1,0
230,2,2
231,2,0
232,1,0
233,1,1
234,1,1
235,2,1
236,1,0
237,1,1
238,1,0
239,1,1
240,1,0
241,2,2
242,1,1
243,1,1
244,1,1
245,1,1
246,1,1
247,1,1
248,1,0
249,1,0
250,4,3
251,1,0
252,2,0
253,1,0
254,1,0
255,2,0
256,1,0
257,2,1
258,1,0
259,1,0
260,2,0
261,1,0
262,6,5
263,1,0
264,1,1
265,3,2
266,4,4
267,1,0
268,1,1
269,1,1
270,1,0
271,1,1
272,1,1
273,10,10
274,1,0
275,1,0
276,2,0
277,1,1
278,1,0
279,1,0
280,1,1
281,1,0
282,7,7
283,1,0
284,3,2
285,1,1
286,1,0
287,2,2
288,8,7
289,3,3
290,1,0
291,2,0
292,1,0
293,1,0
294,1,1
295,1,0
296,2,2
297,1,1
298,4,4
299,5,5
300,1,1
301,1,0
302,2,2
303,1,1
304,1,0
305,1,1
306,1,1
307,1,0
308,1,0
309,1,0
310,1,1
311,1,1
312,1,1
313,1,1
314,1,1
315,2,2
316,2,1
317,1,0
318,1,1
319,1,0
320,1,1
321,2,1
322,2,1
323,8,4
324,1,0
325,1,0
326,4,3
327,1,0
328,2,0
329,1,1
330,1,0
331,2,0
332,1,0
333,2,0
334,2,2
335,1,1
336,1,1
337,1,0
338,1,1
339,1,1
340,1,0
341,1,0
342,2,2
343,1,0
344,1,0
345,1,1
346,1,1
347,1,1
348,2,1
349,1,0
350,1,1
351,1,0
352,1,0
353,1,0
354,2,1
355,1,1
356,1,1
357,1,0
358,1,1
359,2,1
360,2,2
361,1,0
362,1,0
363,1,0
364,1,1
365,1,1
366,2,2
367,1,1
368,1,1
369,1,0
370,1,1
371,1,0
372,2,2
373,1,1
374,1,1
375,1,0
376,1,1
377,2,1
378,1,1
379,1,1
380,1,1
381,1,1
382,1,1
383,1,1
384,1,0
385,1,0
386,1,1
387,1,0
388,1,1
389,1,0
390,1,1
391,1,0
392,1,1
393,1,0
394,1,0
395,1,1
396,1,0
397,1,1
398,1,1
399,1,0
400,1,1
401,1,0
402,1,1
403,1,0
404,1,1
405,1,0
406,2,1
407,1,0
408,1,0
409,1,1
410,1,0
411,1,0
412,1,0
413,1,0
414,1,1
415,1,1
416,1,0
417,1,1
418,1,1
419,2,1
420,1,1
421,1,1
422,1,1
423,1,0
424,1,1
425,2,2
426,1,0
427,1,1
428,1,0
429,1,0
430,1,0
431,1,1
432,1,0
433,2,1
434,1,0
435,3,3
436,2,2
437,1,0
438,1,0
439,2,1
440,14,13
441,3,0
442,1,1
443,1,1
444,2,2
445,10,9
446,2,1
447,1,1
448,1,1
449,8,5
450,1,0
451,4,3
452,1,0
453,3,3
454,1,1
455,1,0
456,1,0
457,1,1
458,1,0
459,1,1
460,1,1
461,3,3
462,1,1
463,1,0
464,1,1
465,1,1
466,1,0
467,1,1
468,1,1
469,1,0
470,2,1
471,1,1
472,1,1
473,2,0
474,1,1
475,2,2
476,1,0
477,4,1
478,3,0
479,1,0
480,1,1
481,1,0
482,1,1
483,1,0
484,2,0
485,1,0
486,3,3
487,4,4
488,1,1
489,1,1
490,1,1
491,1,1
492,1,0
493,1,1
494,1,1
495,1,1
496,3,3
497,5,5
498,2,2
499,1,1
500,3,3
501,1,1
502,1,1
503,1,1
504,1,1
505,1,1
506,2,0
507,1,1
508,24,12
509,2,0
510,1,1
511,1,1
512,1,0
513,1,0
514,1,1
515,1,1
516,1,0
517,1,0
518,1,1
519,1,1
520,1,0
521,2,1
522,1,1
523,1,1
524,1,1
525,1,1
526,2,2
527,1,0
528,1,1
529,1,1
530,1,0
531,3,0
532,1,0
533,1,1
534,1,0
535,1,0
536,1,1
537,1,1
538,1,0
539,2,2
540,1,1
541,1,1
542,1,1
543,1,1
544,1,1
545,1,1
546,1,1
547,1,0
548,1,1
549,1,1
550,1,0
551,1,1
552,1,1
553,1,1
554,1,1
555,1,0
556,1,0
557,1,1
558,1,0
559,2,0
560,2,1
561,1,0
562,1,1
563,1,1
564,1,1
565,1,0
566,1,1
567,1,0
568,1,0
569,1,1
570,1,0
